run,eval_loss,eval_acc,eval_full_vocab_acc,eval_margin,eval_head_acc,eval_tail_acc,step,variant,train_scope,d_model,n_heads,seq_len,n_q,n_k,n_v,m,optimizer,lr,muon_lr,seed,elapsed_s,params_total,params_trainable,prompt_len,train_episodes,train_tokens,eval_episodes_per_eval,random_baseline,spec_group,spec_label,spec_variant,spec_train_scope,spec_optimizer,spec_lr,spec_seed,spec_seq_len,spec_d_model,spec_steps
arch_1l_attn_seq16_d64_adamw_lr0p001_seed1,3.972986936569214,0.158203125,0.1484375,-1.6170889139175415,0.1328125,0.140625,1000,one_layer_attn,all,64,4,16,128,128,512,7,adamw,0.001,0.02,1,9.32862180005759,71104,71104,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,64,2500
arch_1l_attn_seq16_d64_adamw_lr0p001_seed1,3.808081150054932,0.140625,0.130859375,-1.833454132080078,0.1640625,0.1484375,1250,one_layer_attn,all,64,4,16,128,128,512,7,adamw,0.001,0.02,1,11.402135000098497,71104,71104,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,64,2500
arch_1l_attn_seq16_d64_adamw_lr0p001_seed1,3.7424607276916495,0.107421875,0.099609375,-1.960430383682251,0.1015625,0.140625,1500,one_layer_attn,all,64,4,16,128,128,512,7,adamw,0.001,0.02,1,13.321201600134373,71104,71104,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,64,2500
arch_1l_attn_seq16_d64_adamw_lr0p001_seed1,3.539870023727417,0.177734375,0.171875,-1.8626092672348025,0.15625,0.1796875,1750,one_layer_attn,all,64,4,16,128,128,512,7,adamw,0.001,0.02,1,15.27834550011903,71104,71104,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,64,2500
arch_1l_attn_seq16_d64_adamw_lr0p001_seed1,3.5660011768341064,0.1484375,0.142578125,-1.9934320449829104,0.140625,0.140625,2000,one_layer_attn,all,64,4,16,128,128,512,7,adamw,0.001,0.02,1,17.424232700141147,71104,71104,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,64,2500
arch_1l_attn_seq16_d64_adamw_lr0p001_seed1,3.609665632247925,0.15625,0.15234375,-2.0464794635772705,0.171875,0.1796875,2250,one_layer_attn,all,64,4,16,128,128,512,7,adamw,0.001,0.02,1,19.497974700061604,71104,71104,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,64,2500
arch_1l_attn_seq16_d64_adamw_lr0p001_seed1,3.498412132263184,0.14453125,0.140625,-1.9522713422775269,0.1640625,0.09375,2500,one_layer_attn,all,64,4,16,128,128,512,7,adamw,0.001,0.02,1,21.744802000001076,71104,71104,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,64,2500
arch_1l_attn_seq32_d128_adamw_lr0p001_seed0,6.7480549812316895,0.14453125,0.0,-0.2836386859416961,0.1640625,0.1328125,0,one_layer_attn,all,128,4,32,128,128,512,7,adamw,0.001,0.02,0,0.1496593998745083,177024,177024,32,320000,10560000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,32,128,2500
arch_1l_attn_seq32_d128_adamw_lr0p001_seed0,4.748185157775879,0.154296875,0.14453125,-1.152975082397461,0.15625,0.09375,250,one_layer_attn,all,128,4,32,128,128,512,7,adamw,0.001,0.02,0,2.4411271000280976,177024,177024,32,320000,10560000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,32,128,2500
arch_1l_attn_seq32_d128_adamw_lr0p001_seed0,3.741044998168945,0.13671875,0.13671875,-1.3998321294784546,0.15625,0.1171875,500,one_layer_attn,all,128,4,32,128,128,512,7,adamw,0.001,0.02,0,4.713169399881735,177024,177024,32,320000,10560000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,32,128,2500
arch_1l_attn_seq32_d128_adamw_lr0p001_seed0,3.330120086669922,0.13671875,0.13671875,-1.6140283346176147,0.140625,0.0859375,750,one_layer_attn,all,128,4,32,128,128,512,7,adamw,0.001,0.02,0,6.996305299922824,177024,177024,32,320000,10560000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,32,128,2500
arch_1l_attn_seq32_d128_adamw_lr0p001_seed0,3.313915014266968,0.142578125,0.142578125,-1.861109972000122,0.1484375,0.1796875,1000,one_layer_attn,all,128,4,32,128,128,512,7,adamw,0.001,0.02,0,9.225889900000766,177024,177024,32,320000,10560000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,32,128,2500
